ID_ETABLISSEMENT;Adresse;Commune;Code_postal;Implantations;Concordance_classeur;ID_a_revoir;Position;Adresse_ACT;Latitude;Longitude
ETA-000143;23 Route d´Arlon, 8009 Strassen;Strassen;L-8009;7;Variante typographique;IMP-000264,IMP-000363,IMP-000401,IMP-000414,IMP-000503,IMP-000618;Validé automatiquement;23, Route d'Arlon 8009 Strassen;49.61703558;6.092027749
ETA-000144;23 Rue Aldringen (5ième étage), 1118 Luxembourg;Luxembourg;L-1118;1;Concordant;;Validé automatiquement;23, Rue Aldringen 1118 Luxembourg;49.611427673;6.126990551
ETA-000145;234, Val Des Bons-Malades, 2121 Luxembourg;Luxembourg;L-2121;1;Concordant;;Validé automatiquement;234, Val des Bons-Malades 2121 Luxembourg;49.628310088;6.151743448
ETA-000146;235, Val Des Bons-Malades, 2121 Luxembourg;Luxembourg;L-2121;1;Concordant;;Validé automatiquement;235, Val des Bons-Malades 2121 Luxembourg;49.628698131;6.151906775
ETA-000147;237, Route De Thionville, 5885 Howald;Hesperange;L-5885;1;Concordant;;Validé automatiquement;237, Route de Thionville 5885 Howald;49.584524684;6.14638664
ETA-000148;239 Route D'arlon, 8011 Strassen;Strassen;L-8011;1;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000149;239b, Route D'arlon, 8011 Strassen;Strassen;L-8011;1;Concordant;;Validé automatiquement;239B, Route d'Arlon 8011 Strassen;49.619691543;6.068996161
ETA-000150;24 Route D'arlon, 8008 Strassen;Strassen;L-8008;1;Concordant;;Validé automatiquement;24, Route d'Arlon 8008 Strassen;49.617574624;6.09182482
ETA-000151;24, Rue Auguste Liesch, L-3474 Dudelange;Dudelange;L-3474;1;Concordant;;Validé automatiquement;24, Rue Auguste Liesch 3474 Dudelange;49.475404008;6.081782797
ETA-000152;24 Rue De L'école, 5414 Canach;Lenningen;L-5414;1;Concordant;;Validé automatiquement;24, Rue de l'Ecole 5414 Canach;49.610382409;6.322685353
ETA-000153;24, rue Prince Henri, L-9047 Ettelbruck;Ettelbruck;L-9047;1;Concordant;;Validé automatiquement;24, Rue Prince Henri 9047 Ettelbruck;49.847053675;6.10480737
ETA-000154;241b, Route D'arlon, 8011 Strassen;Strassen;L-8011;1;Concordant;;Validé automatiquement;241B, Route d'Arlon 8011 Strassen;49.619850385;6.068577221
ETA-000155;259, Route D'arlon, 1150 Luxembourg;Luxembourg;L-1150;1;Concordant;;Validé automatiquement;259, Route d'Arlon 1150 Luxembourg;49.615684401;6.101125365
ETA-000156;259, route d'Arlon, L-1150 Luxembourg - Belair;Luxembourg;L-1150;2;À vérifier manuellement;IMP-000561;Résultat sans concordance numéro/rue/code postal;;;
ETA-000157;259 Route D'Arlon ( En face du CHL), 1150 Luxembourg-Belair;Luxembourg;L-1150;1;Concordant;;Validé automatiquement;259, Route d'Arlon 1150 Luxembourg;49.615684401;6.101125365
ETA-000158;259 Route d'Arlon (Immeuble Patrizia, en face du C, 1150 Luxembourg - Belair;Luxembourg;L-1150;1;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000159;259 Route d'Arlon (Immeuble Patrizia, en face du CHL), 1150 Luxembourg;Luxembourg;L-1150;1;Concordant;;Validé automatiquement;259, Route d'Arlon 1150 Luxembourg;49.615684401;6.101125365
ETA-000160;26-28 bd J.-F. Kennedy, 4170 Esch-sur-Alzette;Esch-sur-Alzette;L-4170;1;Concordant;;Adresse ou numéro ambigu;;;
ETA-000161;26 Rue Du Pont, 9554 Wiltz;Wiltz;L-9554;1;Concordant;;Validé automatiquement;26, Rue du Pont 9554 Wiltz;49.969520352;5.929368409
ETA-000162;268, Rue De Neudorf, 2222 Luxembourg;Luxembourg;L-2222;3;Variante typographique;IMP-000466;Validé automatiquement;268, Rue de Neudorf 2222 Luxembourg;49.621629291;6.164659387
ETA-000163;269A, Route d'Arlon, Luxembourg, 1150 Luxembourg;Luxembourg;L-1150;1;Concordant;;Validé automatiquement;269A, Route d'Arlon 1150 Luxembourg;49.615800798;6.100832308
ETA-000164;27, Rue Du Commerce (1. Etage), 8220 Mamer;Mamer;L-8220;1;Concordant;;Validé automatiquement;27, Rue du Commerce 8220 Mamer;49.628643563;6.021221054
ETA-000165;27 Rue Jean-Pierre Biermann, 1268 Luxembourg;Luxembourg;L-1268;1;Concordant;;Validé automatiquement;27, Rue Jean-Pierre Biermann 1268 Luxembourg;49.618803699;6.168046521
ETA-000166;27 Rue Principale, L-5241 Sandweiler;Sandweiler;L-5241;3;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000167;28, Rue De L'église, 4732 Pétange;Pétange;L-4732;1;Concordant;;Validé automatiquement;28, Rue de l'Eglise 4732 Pétange;49.558363053;5.87557599
ETA-000168;28, rue du Kockelberg, L-9252 Diekirch;Diekirch;L-9252;1;Concordant;;Validé automatiquement;28, Rue du Kockelberg 9252 Diekirch;49.869370939;6.150943621
ETA-000169;281b, Route d'Arlon, L-8011 Strassen;Strassen;L-8011;1;Concordant;;Validé automatiquement;281B, Route d'Arlon 8011 Strassen;49.621173009;6.064175429
ETA-000170;29-31 Rue Evy Friedrich, 1552 Luxembourg;Luxembourg;L-1552;1;Concordant;;Adresse ou numéro ambigu;;;
ETA-000171;29-31, rue Maximilien, 6463 Echternach;Echternach;L-6463;2;Variante typographique;IMP-000160;Adresse ou numéro ambigu;;;
ETA-000172;29 Route D'esch, 3230 Bettembourg;Bettembourg;L-3230;1;Concordant;;Validé automatiquement;29, Route d'Esch 3230 Bettembourg;49.518542422;6.098583674
ETA-000173;29 Rue Evy Friedrich, 1552 Luxembourg-Gasperich;Luxembourg;L-1552;1;Concordant;;Validé automatiquement;29, Rue Evy Friedrich 1552 Luxembourg;49.591754755;6.11562867
ETA-000174;2a, Ënnert Dem Bierg, 5244 Sandweiler;Sandweiler;L-5244;4;Concordant;;Validé automatiquement;2A, Ennert dem Bierg 5244 Sandweiler;49.617076688;6.214312121
ETA-000175;2a Rue Adolphe Diederich, 5820 Fentange;Hesperange;L-5820;1;Concordant;;Validé automatiquement;2A, Rue Adolphe Diederich 5820 Fentange;49.568483524;6.152369152
ETA-000176;2a Rue De Buerden, 9019 Warken;Ettelbruck;L-9019;1;Concordant;;Validé automatiquement;2A, Rue de Buerden 9019 Warken;49.854703976;6.092717149
ETA-000177;2A, Rue de l'Église, 7481 Tuntange;Helperknapp;L-7481;4;Concordant;;Validé automatiquement;2A, Rue de l'Eglise 7481 Tuntange;49.717453242;6.00990173
ETA-000178;2a, Rue De L'ouest, 2273 Luxembourg;Luxembourg;L-2273;1;Concordant;;Validé automatiquement;2A, Rue de l'Ouest 2273 Luxembourg;49.614671239;6.097123777
ETA-000179;2A Rue Des Capucins, (2e étage), Luxembourg, 1313 Luxembourg;Luxembourg;L-1313;1;Concordant;;Validé automatiquement;2A, Rue des Capucins 1313 Luxembourg;49.611615947;6.129770699
ETA-000180;2b, rue GrandeDuchesse Charlotte, L-9013 Ettelbruck;Ettelbruck;L-9013;1;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000181;3-5, Rue Du Fossé, 3ème étage, 1536 Luxembourg;Luxembourg;L-1536;1;Concordant;;Adresse ou numéro ambigu;;;
ETA-000182;3, Beim Schlass 1er étage ascenseur, 8058 Bertrang, 8058 Bertrange;Bertrange;L-8058;1;Concordant;;Validé automatiquement;3, Beim Schlass 8058 Bertrange;49.611335564;6.049214533
ETA-000183;3 Beim Schlass, 8058 Bertrange;Bertrange;L-8058;1;Concordant;;Validé automatiquement;3, Beim Schlass 8058 Bertrange;49.611335564;6.049214533
ETA-000184;3, rue de l'Ordre de la Couronne de Chêne, L-1361 Luxembourg;Luxembourg;L-1361;1;Concordant;;Validé automatiquement;3, Rue de l'Ordre de la Couronne de Chêne 1361 Luxembourg;49.623566694;6.127287248
ETA-000185;3, Rue Des Capucins, 1313 Luxembourg;Luxembourg;L-1313;2;Variante typographique;IMP-000241;Validé automatiquement;3, Rue des Capucins 1313 Luxembourg;49.611710641;6.129562484
ETA-000186;3 Rue Lucien Thiel, 2607 Luxembourg;Luxembourg;L-2607;2;Concordant;;Validé automatiquement;3, Rue Lucien Thiel 2607 Luxembourg;49.637426136;6.163164979
ETA-000187;30 avenue Grande-Duchesse Charlotte, L-3440 Dudelange;Dudelange;L-3440;1;Concordant;;Validé automatiquement;30, Avenue Grande-Duchesse Charlotte 3440 Dudelange;49.482000906;6.083899305
ETA-000188;30, route de Luxembourg, L-5670 Altwies;Mondorf-les-Bains;L-5670;1;Concordant;;Validé automatiquement;30, Route de Luxembourg 5670 Altwies;49.509579516;6.250495086
ETA-000189;30, Route De Luxembourg, 7372 Lorentzweiler;Lorentzweiler;L-7372;1;Concordant;;Validé automatiquement;30, Route de Luxembourg 7372 Lorentzweiler;49.705212789;6.13839269
ETA-000190;30, Rue André Duchscher, L-6434 Echternach;Echternach;L-6434;1;Concordant;;Validé automatiquement;30, Rue André Duchscher 6434 Echternach;49.812255356;6.417378808
ETA-000191;30, Rue de l'Industrie, 8069 Strassen;Strassen;L-8069;1;Concordant;;Validé automatiquement;30, Rue de l'Industrie 8069 Strassen;49.612004583;6.075488392
ETA-000192;30 Rue Goethe, 1637 Luxembourg | Cabinet 12, Clinique Bohler, 5, rue Edward Steiche, L-2540 Luxembourg-Kirchberg;Luxembourg;L-1637;1;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000193;31, Fort Elisabeth (place de Paris), L-1463 Luxembourg-Gare;Luxembourg;L-1463;1;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000194;31, Rue Neuve, 3781 Kayl;Kayl;L-3781;1;Concordant;;Validé automatiquement;31, Rue Neuve 3781 Tétange;49.480097557;6.039737808
ETA-000195;31 Rue Neuve, L-3781 Tétange;Kayl;L-3781;3;À vérifier manuellement;IMP-000074,IMP-000097;Validé automatiquement;31, Rue Neuve 3781 Tétange;49.480097557;6.039737808
ETA-000196;31 Rue Principale, L-5480 Wormeldange;Wormeldange;L-5480;1;Concordant;;Validé automatiquement;31, Rue Principale 5480 Wormeldange;49.605685059;6.401268819
ETA-000197;32, Grand-Rue, (first floor, above the pharmacy Go, 1660 Luxembourg;Luxembourg;L-1660;1;Concordant;;Validé automatiquement;32, Grand-Rue 1660 Luxembourg;49.612062214;6.130397552
