ID_ETABLISSEMENT;Adresse;Commune;Code_postal;Implantations;Concordance_classeur;ID_a_revoir;Position;Adresse_ACT;Latitude;Longitude
ETA-000254;5, Rue de l'Eglise, 7224 Walferdange;Walferdange;L-7224;1;Concordant;;Validé automatiquement;5, Rue de l'Eglise 7224 Walferdange;49.657734122;6.132686721
ETA-000255;5 rue de la libération, 7347 Steinsel;Steinsel;L-7347;4;Concordant;;Validé automatiquement;5, Rue de la Libération 7347 Steinsel;49.675479339;6.12554111
ETA-000256;5 Rue Du Commerce, 3450 Dudelange;Dudelange;L-3450;3;Concordant;;Validé automatiquement;5, Rue du Commerce 3450 Dudelange;49.479212754;6.086160961
ETA-000257;5, Rue Du Pont, 9268 Diekirch;Diekirch;L-9268;1;Concordant;;Validé automatiquement;5, Rue du Pont 9268 Diekirch;49.867178971;6.160591546
ETA-000258;5, rue Edward Steichen, L-2540 Luxembourg;Luxembourg;L-2540;17;À vérifier manuellement;IMP-000001,IMP-000003,IMP-000033,IMP-000046,IMP-000070,IMP-000111,IMP-000218,IMP-000250,IMP-000350,IMP-000434,IMP-000598,IMP-000601;Validé automatiquement;5, Rue Edward Steichen 2540 Luxembourg;49.633432879;6.177048747
ETA-000259;5, rue Edward Steichen, L-2540 Luxembourg-Kirchberg;Luxembourg;L-2540;1;Concordant;;Validé automatiquement;5, Rue Edward Steichen 2540 Luxembourg;49.633432879;6.177048747
ETA-000260;5, rue Jean-Baptiste Gellé, L-1620 Luxembourg;Luxembourg;L-1620;3;Concordant;;Validé automatiquement;5, Rue Jean-Baptiste Gellé 1620 Luxembourg;49.5970453;6.140627818
ETA-000261;5, Rue Léandre Lacroix, 1913 Luxembourg;Luxembourg;L-1913;2;Concordant;;Validé automatiquement;5, Rue Léandre Lacroix 1913 Luxembourg;49.621880094;6.113631074
ETA-000262;5 Rue Michel Weber, 9089 Ettelbruck;Ettelbruck;L-9089;1;Concordant;;Validé automatiquement;5, Rue Michel Weber 9089 Ettelbruck;49.845488946;6.094059771
ETA-000263;50 Avenue De La Liberté, L-1930 Luxembourg-Gare;Luxembourg;L-1930;1;Concordant;;Validé automatiquement;50, Avenue de la Liberté 1930 Luxembourg;49.60271348;6.131527995
ETA-000264;50, Avenue Grande-Duchesse Charlotte, 3440 Dudelange;Dudelange;L-3440;1;Concordant;;Validé automatiquement;50, Avenue Grande-Duchesse Charlotte 3440 Dudelange;49.481108722;6.084449289
ETA-000265;50 Boulevard J-F Kennedy, L-4170 Esch-sur-Alzette;Esch-sur-Alzette;L-4170;1;Concordant;;Validé automatiquement;50, Boulevard J.F. Kennedy 4170 Esch-sur-Alzette;49.494103335;5.984583451
ETA-000266;50, Route Du Vin, 5447 Schwebsange;Schengen;L-5447;3;Concordant;;Validé automatiquement;50, Route du Vin 5447 Schwebsingen;49.51161743;6.35633056
ETA-000267;50, rue de Luxembourg, L-8077 Bertrange;Bertrange;L-8077;1;Concordant;;Validé automatiquement;50, Rue de Luxembourg 8077 Bertrange;49.611674394;6.057324103
ETA-000268;51, Avenue Pasteur, 2311 Luxembourg;Luxembourg;L-2311;3;À vérifier manuellement;IMP-000183,IMP-000521;Validé automatiquement;51, Avenue Pasteur 2311 Luxembourg;49.619195615;6.120192428
ETA-000269;51 Chemin Rouge, L-4480 Belvaux;Sanem;L-4480;1;Concordant;;Validé automatiquement;51, Chemin Rouge 4480 Belvaux;49.512756363;5.93972575
ETA-000270;52, Avenue Pasteur, 2310 Luxembourg;Luxembourg;L-2310;1;Concordant;;Validé automatiquement;52, Avenue Pasteur 2310 Luxembourg;49.620118782;6.119797026
ETA-000271;52 Boulevard John F. Kennedy, 4170 Esch-sur-Alzette;Esch-sur-Alzette;L-4170;1;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000272;52 Boulevard John Fitzgerald Kennedy, 4170 Esch-sur-Alzette;Esch-sur-Alzette;L-4170;3;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000273;52, Esplanade de la Moselle, L-6637 Wasserbillig;Mertert;L-6637;1;Concordant;;Validé automatiquement;52, Esplanade de la Moselle 6637 Wasserbillig;49.709808264;6.494308111
ETA-000274;53, Avenue Pasteur, 2311 Luxembourg;Luxembourg;L-2311;2;Concordant;;Validé automatiquement;53, Avenue Pasteur 2311 Luxembourg;49.619497379;6.120391144
ETA-000275;53, avenue Pasteur Luxembourg, L-2311 Luxembourg-Limpertsberg;Luxembourg;L-2311;1;Concordant;;Validé automatiquement;53, Avenue Pasteur 2311 Luxembourg;49.619497379;6.120391144
ETA-000276;53, rue Principale, L-5367 Schuttrange;Schuttrange;L-5367;1;Concordant;;Validé automatiquement;53, Rue Principale 5367 Schuttrange;49.620321834;6.264733836
ETA-000277;55-57, Avenue Pasteur, L-2311 Luxembourg-Limpertsberg;Luxembourg;L-2311;3;Concordant;;Adresse ou numéro ambigu;;;
ETA-000278;55 Avenue De La Liberté, 1931 Luxembourg;Luxembourg;L-1931;1;Concordant;;Validé automatiquement;55, Avenue de la Liberté 1931 Luxembourg;49.602238538;6.132433381
ETA-000279;55a, Avenue Pasteur, 2311 Luxembourg;Luxembourg;L-2311;1;Concordant;;Validé automatiquement;55A, Avenue Pasteur 2311 Luxembourg;49.619280133;6.119577628
ETA-000280;56 Avenue François Clément, 5612 Mondorf-les-Bains;Mondorf-les-Bains;L-5612;2;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000281;56, Boulevard John F. Kennedy, 4170 Esch-sur-Alzette;Esch-sur-Alzette;L-4170;1;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000282;56 Rue D'anvers, 1130 Luxembourg;Luxembourg;L-1130;7;Concordant;;Validé automatiquement;56, Rue d'Anvers 1130 Luxembourg;49.602580099;6.127686708
ETA-000283;59 Rue De Wormeldange, 6180 Gonderange;Junglinster;L-6180;2;Concordant;;Validé automatiquement;59, Rue de Wormeldange 6180 Gonderange;49.6926661;6.255097771
ETA-000284;5B, Rue François Hogenberg, 1735 Luxembourg-Gasperich;Luxembourg;L-1735;2;Concordant;;Validé automatiquement;5B, Rue François Hogenberg 1735 Luxembourg;49.587114214;6.12310874
ETA-000285;6 Avenue Du 10 Septembre, 2550 Luxembourg;Luxembourg;L-2550;2;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000286;6 Avenue Du 10 Septembre, J459+RF, J459+RF, 2550 Luxembourg;Luxembourg;L-2550;1;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000287;6 Avenue Lucien Salentiny, 9080 Ettelbruck;Ettelbruck;L-9080;1;Concordant;;Validé automatiquement;6, Avenue Lucien Salentiny 9080 Ettelbruck;49.848548535;6.102269651
ETA-000288;6 Place Virchow, 2671 Luxembourg;Luxembourg;L-2671;2;Concordant;;Validé automatiquement;6, Place Virchow 2671 Luxembourg;49.602328724;6.13951182
ETA-000289;6, route d'Echternach, L-6580 Rosport;Rosport-Mompach;L-6580;1;Concordant;;Validé automatiquement;6, Route d'Echternach 6580 Rosport;49.80475672;6.503916589
ETA-000290;6, rte de Larochette, L-9254 Diekirch;Diekirch;L-9254;1;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000291;6, Rue Leonardo Da Vinci, 2681 Luxembourg;Luxembourg;L-2681;1;Concordant;;Validé automatiquement;6, Rue Leonardo Da Vinci 2681 Luxembourg;49.582232142;6.120710756
ETA-000292;62, Rue De Luxembourg, 8440 Steinfort;Steinfort;L-8440;2;Concordant;;Validé automatiquement;62, Rue de Luxembourg 8440 Steinfort;49.659299024;5.925375138
ETA-000293;62A Grand-Rue, L- 3394 Roeser;Roeser;L-3394;3;Concordant;;Validé automatiquement;62A, Grand-Rue 3394 Roeser;49.53942913;6.144127075
ETA-000294;66, GrandRue, L-9051 Ettelbruck;Ettelbruck;L-9051;1;Concordant;;Validé automatiquement;66, Grand-Rue 9051 Ettelbruck;49.847008409;6.100239133
ETA-000295;67, Rue De Belvaux, 4025 Esch-sur-Alzette;Esch-sur-Alzette;L-4025;1;Concordant;;Validé automatiquement;67, Rue de Belvaux 4025 Esch-sur-Alzette;49.502265901;5.972235771
ETA-000296;68, rue du Commerce, L-3450 Dudelange;Dudelange;L-3450;1;Concordant;;Validé automatiquement;68, Rue du Commerce 3450 Dudelange;49.477182614;6.084254547
ETA-000297;68, Rue Du Dix Octobre, 7243 Bereldange;Walferdange;L-7243;1;Concordant;;Validé automatiquement;68, Rue du Dix Octobre 7243 Bereldange;49.6506429;6.125107338
ETA-000298;6A, Rue Ermesinde, 8416 Steinfort;Steinfort;L-8416;5;Variante typographique;IMP-000620;Validé automatiquement;6A, Rue Ermesinde 8416 Steinfort;49.658966554;5.918708546
ETA-000299;6B Rue Ermesinde, 8416 Steinfort;Steinfort;L-8416;1;Concordant;;Validé automatiquement;6B, Rue Ermesinde 8416 Steinfort;49.658794159;5.918742403
ETA-000300;7 Avenue De La Gare, 4734 Pétange;Pétange;L-4734;1;Concordant;;Validé automatiquement;7, Avenue de la Gare 4734 Pétange;49.555467539;5.876856597
ETA-000301;7, Avenue Victor Hugo, 1750 Luxembourg;Luxembourg;L-1750;5;Concordant;;Validé automatiquement;7, Avenue Victor Hugo 1750 Luxembourg;49.618755852;6.124544508
ETA-000302;7, Grand Rue, L-9050 Ettelbruck;Ettelbruck;L-9050;1;Concordant;;Validé automatiquement;7, Grand-Rue 9050 Ettelbruck;49.845405642;6.098314462
ETA-000303;7, Rue Pierre Federspiel, 1512 Strassen;Strassen;L-1512;1;Concordant;;Validé automatiquement;7, Rue Pierre Federspiel 1512 Luxembourg;49.618068404;6.097205043
ETA-000304;70, Route D'esch, 1470 Luxembourg;Luxembourg;L-1470;3;Concordant;;Validé automatiquement;70, Route d'Esch 1470 Luxembourg;49.601625113;6.119843525
ETA-000305;70 Rue Dr Klein, 9054 Ettelbruck;Ettelbruck;L-9054;2;Concordant;;Validé automatiquement;70, Rue Dr Klein 9054 Ettelbruck;49.850243585;6.101161115
ETA-000306;71, Rue de Luxembourg, L-8440 Steinfort;Steinfort;L-8440;1;Concordant;;Validé automatiquement;71, Rue de Luxembourg 8440 Steinfort;49.659804584;5.922421117
ETA-000307;73 Boulevard De La Fraternité, 1541 Luxembourg;Luxembourg;L-1541;2;Concordant;;Validé automatiquement;73, Boulevard de la Fraternité 1541 Luxembourg;49.599067398;6.140257356
ETA-000308;74, Avenue de la Faïencerie, L-1510 Luxembourg;Luxembourg;L-1510;4;À vérifier manuellement;IMP-000337,IMP-000541;Validé automatiquement;74, Avenue de la Faïencerie 1510 Luxembourg;49.618854059;6.117916246
ETA-000309;75 Rue De Mamer, 8081 Bertrange;Bertrange;L-8081;1;Concordant;;Validé automatiquement;75, Rue de Mamer 8081 Bertrange;49.616569159;6.046885495
ETA-000310;76, rue d'Eich, L-1460 Luxembourg;Luxembourg;L-1460;3;Concordant;;Validé automatiquement;76, Rue d'Eich 1460 Luxembourg;49.631664161;6.13479326
ETA-000311;76 Rue d'Eich - 5ème étage - Maison Médical Norber, 1460 Luxembourg-Eich;Luxembourg;L-1460;1;Concordant;;Validé automatiquement;76, Rue d'Eich 1460 Luxembourg;49.631664161;6.13479326
ETA-000312;77 Rue De Luxembourg, 8140 Bridel;Kopstal;L-8140;5;Concordant;;Validé automatiquement;77, Rue de Luxembourg 8140 Bridel;49.65019987;6.083585884
ETA-000313;79, Route D'esch, 4450 Belvaux;Sanem;L-4450;1;Concordant;;Validé automatiquement;79, Route d'Esch 4450 Belvaux;49.511070497;5.933615051
ETA-000314;7a Allée Du Carmel, 1354 Luxembourg;Luxembourg;L-1354;5;Concordant;;Validé automatiquement;7A, Allée du Carmel 1354 Luxembourg;49.619686509;6.172215637
ETA-000315;8-10 rue Prince Jean, L-4825 Rodange;Pétange;L-4825;1;Concordant;;Adresse ou numéro ambigu;;;
ETA-000316;8 Avenue De La Faïencerie, 1510 Luxembourg;Luxembourg;L-1510;1;Concordant;;Validé automatiquement;8, Avenue de la Faïencerie 1510 Luxembourg;49.6168594;6.121530614
ETA-000317;8, Place Benelux, 4027 Esch-sur-Alzette;Esch-sur-Alzette;L-4027;1;Concordant;;Validé automatiquement;8, Place Benelux 4027 Esch-sur-Alzette;49.502559393;5.971025204
ETA-000318;8, Rue De L'ouest, 2273 Luxembourg;Luxembourg;L-2273;3;Concordant;;Validé automatiquement;8, Rue de l'Ouest 2273 Luxembourg;49.615703424;6.09688901
ETA-000319;8, Rue De La Fontaine, 8058 Bertrange;Bertrange;L-8058;1;Concordant;;Validé automatiquement;8, Rue de la Fontaine 8058 Bertrange;49.612008206;6.051307578
ETA-000320;8, Rue De La Fontaine (rez-de-chaussée), 8058 Bertrange;Bertrange;L-8058;1;Concordant;;Validé automatiquement;8, Rue de la Fontaine 8058 Bertrange;49.612008206;6.051307578
ETA-000321;8 Rue Mil Neuf Cents, 2157 Luxembourg;Luxembourg;L-2157;1;Concordant;;Validé automatiquement;8, Rue Mil Neuf Cents 2157 Luxembourg;49.601199641;6.128677398
ETA-000322;8 Rue Notre-Dame, L-2240 Luxembourg;Luxembourg;L-2240;2;À vérifier manuellement;IMP-000011;Validé automatiquement;8, Rue Notre-Dame 2240 Luxembourg;49.610087256;6.12939525
ETA-000323;8 Rue Prince Jean, L-9052 Ettelbruck;Ettelbruck;L-9052;1;Concordant;;Validé automatiquement;8, Rue Prince Jean 9052 Ettelbruck;49.848399903;6.101055923
ETA-000324;80-85, Rue Waassertrap, L-4408 Belvaux;Sanem;L-4408;1;Concordant;;Adresse ou numéro ambigu;;;
ETA-000325;80 Rue Jean Pierre Michels, L-4243 Esch-sur-Alzette;Esch-sur-Alzette;L-4243;1;Concordant;;Validé automatiquement;80, Rue Jean-Pierre Michels 4243 Esch-sur-Alzette;49.503105907;5.981323361
ETA-000326;82, Rue De Luxembourg, 8140 Bridel;Kopstal;L-8140;1;Concordant;;Validé automatiquement;82, Rue de Luxembourg 8140 Bridel;49.655354807;6.082939677
ETA-000327;85 route de Thionville, L-2611 Luxembourg;Luxembourg;L-2611;1;Concordant;;Validé automatiquement;85, Route de Thionville 2611 Luxembourg;49.592217149;6.140291929
ETA-000328;88, rue du Cimetière, 1338 Luxembourg;Luxembourg;L-1338;2;Concordant;;Validé automatiquement;88, Rue du Cimetière 1338 Luxembourg;49.591878142;6.141376823
ETA-000329;88 Rue Du Cimetière (résidence New York), 1338 Luxembourg;Luxembourg;L-1338;1;Concordant;;Validé automatiquement;88, Rue du Cimetière 1338 Luxembourg;49.591878142;6.141376823
ETA-000330;88 Rue Du Cimetière, Résidence New York étage -1, 1338 Luxembourg;Luxembourg;L-1338;2;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000331;89 Parc D'activités Capellen, 8308 Capellen | 89, Parc D'activités Capellen West Side Village Bâ, 8308 Capellen;Mamer;L-8308;1;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000332;89 Parc d'Activités Capellen (West Side Village Bâ, 8308 Mamer;Mamer;L-8308;1;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000333;89 Parc d'Activités Capellen (West Side Village Bâ, 8308 Mamer | 89 Parc d'Activités Capellen, 8308 Mamer;Mamer;L-8308;2;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000334;89 Route De Longwy, 8080 Bertrange;Bertrange;L-8080;1;Concordant;;Validé automatiquement;89, Route de Longwy 8080 Bertrange;49.600680367;6.06737633
ETA-000335;9, Place Abbé P.J. Charles Mullendorff, L-2179 Luxembourg;Luxembourg;L-2179;1;Concordant;;Validé automatiquement;9, Place Abbé P.J. Charles Mullendorff 2179 Luxembourg;49.636234477;6.165529273
ETA-000336;9 Place De L'hôtel De Ville, 3590 Dudelange;Dudelange;L-3590;1;Concordant;;Validé automatiquement;9, Place de l'Hôtel de Ville 3590 Dudelange;49.47947104;6.084127782
ETA-000337;9, Rue De Brabant, 9213 Diekirch;Diekirch;L-9213;2;À vérifier manuellement;IMP-000534;Validé automatiquement;9, Rue de Brabant 9213 Diekirch;49.869764482;6.159599357
ETA-000338;9, rue de Welscheid, L-9090 Warken;Ettelbruck;L-9090;2;Concordant;;Validé automatiquement;9, Rue de Welscheid 9090 Warken;49.853675612;6.092998877
ETA-000339;9, Rue Edward Steichen, 1947 Luxembourg;Luxembourg;L-1947;1;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000340;9, rue Edward Steichen, L-2540 Luxembourg;Luxembourg;L-2540;1;Concordant;;Validé automatiquement;9, Rue Edward Steichen 2540 Luxembourg;49.632138279;6.176190557
ETA-000341;9 Rue Edward Steichen, Hôpital Kirchberg, 9 Rue Ed, L-2540 Luxemborug;Luxembourg;L-2540;1;Concordant;;Validé automatiquement;9, Rue Edward Steichen 2540 Luxembourg;49.632138279;6.176190557
ETA-000342;9, Rue Pierre Federspiel, L-1512 Luxembourg-Belair;Luxembourg;L-1512;1;Concordant;;Validé automatiquement;9, Rue Pierre Federspiel 1512 Luxembourg;49.618445141;6.097046674
ETA-000343;91, Rue Adolphe Fischer, 1521 Luxembourg;Luxembourg;L-1521;2;Variante typographique;IMP-000507;Validé automatiquement;91, Rue Adolphe Fischer 1521 Luxembourg;49.601145669;6.127691229
ETA-000344;92 Rue Des Aubépines, 1145 Luxembourg;Luxembourg;L-1145;1;Concordant;;Validé automatiquement;92, Rue des Aubépines 1145 Luxembourg;49.611046148;6.097746997
ETA-000345;92, rue des Aubépines, L-1145 Luxembourg-Belair;Luxembourg;L-1145;2;Concordant;;Validé automatiquement;92, Rue des Aubépines 1145 Luxembourg;49.611046148;6.097746997
ETA-000346;94 Rue Pierre Gansen, 4570 Niederkorn;Differdange;L-4570;1;Concordant;;Validé automatiquement;94, Rue Pierre Gansen 4570 Niederkorn;49.536781692;5.89741762
ETA-000347;96, bd. De la Pétrusse, L-2320 Luxembourg;Luxembourg;L-2320;1;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000348;96 Boulevard de la Pétrusse, 2320 Luxembourg;Luxembourg;L-2320;2;Concordant;;Validé automatiquement;96, Boulevard de la Pétrusse 2320 Luxembourg;49.606378157;6.126066827
ETA-000349;96, Rue Émile Mayrisch, 4240 Esch-sur-Alzette;Esch-sur-Alzette;L-4240;1;Concordant;;Validé automatiquement;96, Rue Emile Mayrisch 4240 Esch-sur-Alzette;49.503300696;5.981819295
ETA-000350;9A-H Avenue Du Rock'n'roll, 4361 Esch-Belval;Esch-sur-Alzette;L-4361;1;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000351;9b, rue de la Libération, L-8245 Mamer;Mamer;L-8245;1;Concordant;;Validé automatiquement;9B, Rue de la Libération 8245 Mamer;49.627063246;6.030742849
ETA-000352;Allée Marconi Villa Louvigny, L-2120 Luxembourg;Luxembourg;L-2120;1;Concordant;;Adresse ou numéro ambigu;;;
ETA-000353;Avenue Des Bains, L-5610 Mondorf-les-Bains;Mondorf-les-Bains;L-5610;1;Concordant;;Adresse ou numéro ambigu;;;
ETA-000354;Caserne Grand-Duc Jean, L-9330 Diekirch;Diekirch;L-9330;1;Concordant;;Adresse ou numéro ambigu;;;
ETA-000355;Centre Hospitalier du Nord-CHdN, 120, Avenue Lucien Salentiny, 9080 Ettelbruck;Ettelbruck;L-9080;1;Concordant;;Adresse ou numéro ambigu;;;
ETA-000356;CENTRE MEDICAL NORBERT METZ, 76, Rue D'Eich, 76, R, L-1460 Luxembourg;Luxembourg;L-1460;1;Concordant;;Adresse ou numéro ambigu;;;
ETA-000357;Currently, no appointments available, 2450 Luxembourg;Luxembourg;L-2450;1;Concordant;;Adresse ou numéro ambigu;;;
ETA-000358;Fifth floor/Cinquième étage 76, Rue D'eich, 1460 Luxembourg;Luxembourg;L-1460;1;Concordant;;Adresse ou numéro ambigu;;;
ETA-000359;Groupe Urologique Kirchberg | Hôpital Kirchberg - , L-2540 Luxembourg;Luxembourg;L-2540;7;Concordant;;Adresse ou numéro ambigu;;;
ETA-000360;Immeuble 5 beim Schlass, L-8058 Bertrange;Bertrange;L-8058;2;Concordant;;Adresse ou numéro ambigu;;;
ETA-000361;Route d'Arlon 27, L-8410 Steinfort;Steinfort;L-8410;1;Concordant;;Adresse ou numéro ambigu;;;
ETA-000362;Rue Émile Mayrisch, Bâtiment Heichuewen, 4240 Esch-sur-Alzette;Esch-sur-Alzette;L-4240;1;Concordant;;Adresse ou numéro ambigu;;;
